train_loss,eval_loss,token_accuracy,round_time_sec,comm_bytes,client_val_loss_gap,perplexity,round,phase,global_eval_loss,global_perplexity
,1.007832205484784,0.026342417331631236,,,0.5154911279678345,2.739655562783267,1,evaluate,1.007832205484784,2.739655562783267
1.0850302043994784,0.9744646964237136,0.023216258308485976,47.751482407479706,94371840.0,0.7873594164848328,2.6497484114713403,1,fit,,
,1.0144538162346173,0.018100418229819667,,,0.38851553201675415,2.7578566893930194,2,evaluate,1.0144538162346173,2.7578566893930194
1.038216845912363,0.9946272322829341,0.01747796128182299,68.806975462547,94371840.0,0.4576506018638611,2.703716295256641,2,fit,,
,1.0126174751080965,0.01839850532326015,,,0.3878399729728699,2.7527969708397144,3,evaluate,1.0126174751080965,2.7527969708397144
0.9486074780543612,0.9425278231249017,0.02105051100665329,69.64760421817586,94371840.0,0.22998905181884766,2.566460784453402,3,fit,,
,0.9090397435349304,0.025977776347011358,,,0.29151594638824463,2.4819380916318434,4,evaluate,0.9090397435349303,2.481938091631843
0.9663254167375118,0.9989003368485522,0.01893217051385692,65.0493711932388,94371840.0,0.19434529542922974,2.7152942770481987,4,fit,,
,0.9889640064047488,0.01875786705425593,,,0.19741356372833252,2.688447814401721,5,evaluate,0.9889640064047487,2.688447814401721
0.9194653480298935,1.0191657905067717,0.020375679373169305,36.86929188796452,94371840.0,0.11635947227478027,2.7708823032380776,5,fit,,
,0.942862182221514,0.023384592853467796,,,0.30482280254364014,2.567319047438805,6,evaluate,0.9428621822215141,2.5673190474388052
0.8659077677604503,0.9587895783306599,0.020904825156043045,70.79824680120622,94371840.0,0.22285419702529907,2.6085371318714197,6,fit,,
